date;vep_eur;aum_eur;units_est
2026-03-22;10.05835;1482008.75;147341.13945130166
2026-03-23;10.0593;1482149.2;147341.18676249837
2026-03-24;10.06025;1482289.67;147341.23605278198
2026-03-25;10.06121;1482430.13;147341.13789494502
