date;vep_rsd;aum_rsd;units_est
2026-03-22;1009.68147;179587115.11;177865.11929351345
2026-03-23;1009.82082;179611901.12;177865.1197942225
2026-03-24;1009.96017;134636686.69;133308.90731067146
2026-03-25;1010.1346;134659939.71;133308.90725849805
2026-03-26;1010.27352;135678458.56;134298.73779132607
